"Input","Reference","Output","Prefix match","Oracle match"
"Did M0 ' s spouse , sibling , and child marry M1","SELECT count ( * ) WHERE { ?x0 people.person.parents|ns:fictional_universe.fictional_character.parents|ns:organization.organization.parent/ns:organization.organization_relationship.parent M0 . ?x0 people.person.sibling_s/ns:people.sibling_relationship.sibling|ns:fictional_universe.fictional_character.siblings/ns:fictional_universe.sibling_relationship_of_fictional_characters.siblings M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M1 . FILTER ( ?x0 != M0 ) . FILTER ( ?x0 != M0 ) . FILTER ( ?x0 != M1 ) }","SELECT count ( * ) WHERE { ?x0 people.person.parents|ns:fictional_universe.fictional_character.parents|ns:organization.organization.parent/ns:organization.organization_relationship.parent M0 . ?x0 people.person.sibling_s/ns:people.sibling_relationship.sibling|ns:fictional_universe.fictional_character.siblings/ns:fictional_universe.sibling_relationship_of_fictional_characters.siblings M0 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M1 . FILTER ( ?x0 != M0 ) . FILTER ( ?x0 != M1 ) . FILTER ( ?x0 != M1 ) }","False","False"
"Did M3 ' s star direct , produce , executive produce , and edit M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 }","False","False"
"Did M3 ' s star produce , direct , edit , and executive produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M3 }","False","False"
"Did M3 ' s star produce , edit , direct , and executive produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M1 }","False","False"
"Did M3 ' s star produce , executive produce , direct , and edit M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M3 . ?x0 film.director.film M1 . ?x0 film.editor.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 }","False","False"
"Did M0 employ M1 , M2 , and M3 , employ M4 , M5 , and M6 , and employ M7","SELECT count ( * ) WHERE { M0 business.employer.employees/ns:business.employment_tenure.person M1 . M0 business.employer.employees/ns:business.employment_tenure.person M2 . M0 business.employer.employees/ns:business.employment_tenure.person M3 . M0 business.employer.employees/ns:business.employment_tenure.person M4 . M0 business.employer.employees/ns:business.employment_tenure.person M5 . M0 business.employer.employees/ns:business.employment_tenure.person M6 . M0 business.employer.employees/ns:business.employment_tenure.person M7 }","SELECT count ( * ) WHERE { M0 business.employer.employees/ns:business.employment_tenure.person M1 . M0 business.employer.employees/ns:business.employment_tenure.person M2 . M0 business.employer.employees/ns:business.employment_tenure.person M3 . M0 business.employer.employees/ns:business.employment_tenure.person M4 . M0 business.employer.employees/ns:business.employment_tenure.person M5 . M0 business.employer.employees/ns:business.employment_tenure.person M1 . M6 business.employer.employees/ns:business.employment_tenure.person M2 . M6 business.employer.employees/ns:business.employment_tenure.person M3 . M7 business.employer.employees/ns:business.employment_tenure.person M4 . M0 business.employer.employees/ns:business.employment_tenure.person M5 }","False","False"
"Did M1 ' s cinematographer , executive producer , writer , and star write , direct , edit , and executive produce M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M1 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.writer.film M0 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.cinematographer.film M1 . ?x1 film.producer.films_executive_produced M1 . ?x1 film.writer.film M1 }","False","False"
"Did M1 ' s producer , director , cinematographer , executive producer , and star edit , direct , and executive produce M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M1 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.cinematographer.film M1 . ?x1 film.director.film M1 . ?x1 film.producer.films_executive_produced M1 }","False","False"
"Did M1 ' s star , editor , writer , cinematographer , director , executive producer , and producer write and edit M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.cinematographer.film M1 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.cinematographer.film M1 . ?x1 film.director.film M1 . ?x1 film.producer.films_executive_produced M1 . ?x1 film.producer.film|ns:film.production_company.films M1 }","False","False"
"Did M1 ' s star , writer , director , and executive producer executive produce , direct , edit , and write M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.writer.film M0 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.director.film M1 . ?x1 film.producer.films_executive_produced M1 . ?x1 film.writer.film M1 }","False","False"
"Did M1 ' s writer , star , executive producer , and director edit , direct , produce , and executive produce M0","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M1 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M1 . ?x1 film.actor.film/ns:film.performance.film M1 . ?x1 film.director.film M1 . ?x1 film.producer.films_executive_produced M1 }","False","False"
"Did M5 ' s cinematographer and producer found M0 , M1 , and M2 and found M3 and M4","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M5 . ?x0 film.producer.film|ns:film.production_company.films M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film ?x1 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x1 film.cinematographer.film M5 }","False","False"
"Did M4 ' s cinematographer , star , and editor found M0 , M1 , and M2 and found M3","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M4 . ?x0 film.cinematographer.film M4 . ?x0 film.editor.film M4 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film ?x1 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x1 film.actor.film/ns:film.performance.film M4 . ?x1 film.cinematographer.film M4 }","False","False"
"Did M5 ' s director , cinematographer , editor , and producer found M0 and M1 and found M2 , M3 , and M4","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M5 . ?x0 film.director.film M5 . ?x0 film.editor.film M5 . ?x0 film.producer.film|ns:film.production_company.films M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film ?x1 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x1 film.cinematographer.film M5 . ?x1 film.editor.film M5 . ?x1 film.producer.film|ns:film.production_company.films M5 }","False","False"
"Did M0 ' s director , cinematographer , producer , and writer found M1 , M2 , M3 , and M4 and found M5","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 film.director.film M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 . ?x0 film.writer.film M0 }","False","False"
"Did M5 ' s editor , producer , and director found M0 , M1 , and M2 and found M3 and M4","SELECT count ( * ) WHERE { ?x0 film.director.film M5 . ?x0 film.editor.film M5 . ?x0 film.producer.film|ns:film.production_company.films M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.editor.film M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 film.producer.film|ns:film.production_company.films ?x1 . M5 organization.organization_founder.organizations_founded ?x0 . M5 organization.organization_founder.organizations_founded M0 . M5 organization.organization_founder.organizations_founded M3 . M5 organization.organization_founder.organizations_founded M4 }","False","False"
"Did M0 ' s editor , star , director , producer , and writer found M1 and M2 and found M3","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.director.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 film.writer.film M3 }","False","False"
"Did M5 ' s star and cinematographer found M0 , M1 , M2 , and M3 and found M4","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M5 . ?x0 film.cinematographer.film M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film ?x1 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . M5 }","False","False"
"Did M5 ' s star and editor found M0 , M1 , and M2 , found M3 , and found M4","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M5 . ?x0 film.editor.film M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film ?x1 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . M5 }","False","False"
"Did M5 ' s star , cinematographer , producer , and director found M0 , M1 , M2 , and M3 and found M4","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M5 . ?x0 film.cinematographer.film M5 . ?x0 film.director.film M5 . ?x0 film.producer.film|ns:film.production_company.films M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film ?x1 . ?x0 film.cinematographer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 film.producer.film|ns:film.production_company.films ?x1 . M5 }","False","False"
"Did M5 ' s star , producer , and editor found M0 , M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M5 . ?x0 film.editor.film M5 . ?x0 film.producer.film|ns:film.production_company.films M5 . ?x0 organization.organization_founder.organizations_founded M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M1 . ?x0 film.actor.film/ns:film.performance.film M2 . ?x0 film.editor.film M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 film.producer.film|ns:film.production_company.films M5 . ?x0 film.producer.film|ns:film.production_company.films M0 . M5 organization.organization_founder.organizations_founded M1 }","False","False"
"Did M0 ' s writer , cinematographer , and editor found M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M0 . ?x0 film.writer.film M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 }","False","False"
"Did M0 ' s writer and cinematographer found M1 , M2 , and M3 , found M4 , and found M5","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","False","False"
"Did M0 ' s star , editor , writer , and cinematographer produce and write M1 and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M0 . ?x0 film.cinematographer.film M0 . ?x0 film.editor.film M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M2 }","False","False"
"Did M0 ' s producer and executive producer found M1 , found M2 , and found M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","SELECT count ( * ) WHERE { ?x0 film.producer.films_executive_produced M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","False","False"
"Did M3 ' s actor write , produce , direct , and executive produce M0 , M1 , and M2","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.character M3 . ?x0 film.director.film M0 . ?x0 film.director.film M1 . ?x0 film.director.film M2 . ?x0 film.producer.films_executive_produced M0 . ?x0 film.producer.films_executive_produced M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.producer.film|ns:film.production_company.films M1 . ?x0 film.producer.film|ns:film.production_company.films M2 . ?x0 film.writer.film M0 . ?x0 film.writer.film M1 . ?x0 film.writer.film M2 }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.character M3 . ?x0 film.director.film M1 . ?x0 film.producer.films_executive_produced M2 . ?x0 film.producer.film|ns:film.production_company.films M0 . ?x0 film.writer.film M0 }","False","False"
"Did M0 direct , edit , and write M1 , M2 , M3 , and M4","SELECT count ( * ) WHERE { M0 film.director.film M1 . M0 film.director.film M2 . M0 film.director.film M3 . M0 film.director.film M4 . M0 film.editor.film M1 . M0 film.editor.film M2 . M0 film.editor.film M3 . M0 film.editor.film M4 . M0 film.writer.film M1 . M0 film.writer.film M2 . M0 film.writer.film M3 . M0 film.writer.film M4 }","SELECT count ( * ) WHERE { M0 film.director.film M3 . M0 film.director.film M4 . M0 film.editor.film M1 . M0 film.writer.film M2 }","False","False"
"Did M0 ' s writer and cinematographer found M1 and found M2 , M3 , M4 , and M5","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 film.writer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","SELECT count ( * ) WHERE { ?x0 film.cinematographer.film M0 . ?x0 organization.organization_founder.organizations_founded M1 . ?x0 organization.organization_founder.organizations_founded M2 . ?x0 organization.organization_founder.organizations_founded M3 . ?x0 organization.organization_founder.organizations_founded M4 . ?x0 organization.organization_founder.organizations_founded M5 }","False","False"
"Did M4 ' s star and director influence M0 , marry M5 , and influence M1 , M2 , and M3","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M4 . ?x0 film.director.film M4 . ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M5 . FILTER ( ?x0 != M5 ) }","SELECT count ( * ) WHERE { ?x0 film.actor.film/ns:film.performance.film M4 . ?x0 film.director.film M5 . ?x0 influence.influence_node.influenced M0 . ?x0 influence.influence_node.influenced M1 . ?x0 influence.influence_node.influenced M2 . ?x0 influence.influence_node.influenced M3 . ?x0 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses M5 . FILTER ( ?x0 != M5 ) }","False","False"
"Did M1 marry a costume designer and influence M2 , M3 , M4 , M5 , M6 , and M7","SELECT count ( * ) WHERE { ?x0 a film.film_costumer_designer . FILTER ( M1 != ?x0 ) . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M1 influence.influence_node.influenced M6 . M1 influence.influence_node.influenced M7 . M1 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x0 }","SELECT count ( * ) WHERE { ?x0 a film.film_costumer_designer . FILTER ( M1 != ?x0 ) . FILTER ( M1 != M4 ) . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M5 influence.influence_node.influenced M2 . M5 influence.influence_node.influenced M3 . M6 influence.influence_node.influenced M4 . M6 influence.influence_node.influenced M5 . M6 influence.influence_node.influenced M1 . M6 influence.influence_node.influenced M2 . M6 influence.influence_node.influenced M3 . M6 influence.influence_node.influenced M4 . M6 influence.influence_node.influenced M5 . M6 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x0 . M7 influence.influence_node.influenced M1 M7 influence.influence_node.influenced M1 M7 influence.influence_node.influenced M2 . M7 influence.influence_node.influenced M3 . M7 influence.influence_node.influenced M4 . M7 M7 M7 M7 M7","False","False"
"Did M1 marry a costume designer , influence M2 , influence M3 , and influence M4 , M5 , and M6","SELECT count ( * ) WHERE { ?x0 a film.film_costumer_designer . FILTER ( M1 != ?x0 ) . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M1 influence.influence_node.influenced M6 . M1 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x0 }","SELECT count ( * ) WHERE { ?x0 a film.film_costumer_designer . FILTER ( M1 != ?x0 ) . M1 influence.influence_node.influenced M2 . M1 influence.influence_node.influenced M3 . M1 influence.influence_node.influenced M4 . M1 influence.influence_node.influenced M5 . M1 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x0 . M6 influence.influence_node.influenced M2 . M6 influence.influence_node.influenced M3 . M1 people.person.spouse_s/ns:people.marriage.spouse|ns:fictional_universe.fictional_character.married_to/ns:fictional_universe.marriage_of_fictional_characters.spouses ?x0 }","False","False"
